Dia_Refeicao,Data,Refeição,Campus,Nota1,Nota2,Nota3,Nota4,Nota5,Cardápio,Avaliações
Seg_Alm_SM_S14,2024-04-01,Alm,SM,1,1,11,23,26,CREME DE FRANGO,62
Seg_Jan_SM_S14,2024-04-01,Jan,SM,2,2,8,20,7,CARNE DE PANELA,39
Ter_Alm_SM_S14,2024-04-02,Alm,SM,3,11,23,18,19,CARNE MOÍDA Á PARMEGIANA,74
Ter_Jan_SM_S14,2024-04-02,Jan,SM,28,0,5,11,12,LASANHA DE CARNE À BOLONHESA,56
Qua_Alm_SM_S14,2024-04-03,Alm,SM,1,0,2,15,38,FEIJOADA,56
Qua_Jan_SM_S14,2024-04-03,Jan,SM,2,2,12,12,17,BIFE BOVINO AO MOLHO BARBECUE,45
Qui_Alm_SM_S14,2024-04-04,Alm,SM,4,12,16,20,3,FRANGO AO MOLHO DE AÇAFRÃO,55
Qui_Jan_SM_S14,2024-04-04,Jan,SM,2,1,1,7,52,PEIXE FRITO,63
Sex_Alm_SM_S14,2024-04-05,Alm,SM,3,4,2,19,27,FRICASSE DE FRANGO,55
Sex_Jan_SM_S14,2024-04-05,Jan,SM,3,0,2,7,25,FRANGO ASSADO,37
Sab_Alm_SM_S14,2024-04-06,Alm,SM,21,9,16,10,5,GALINHADA,61
Seg_Alm_SM_S15,2024-04-08,Alm,SM,8,6,18,30,14,FRANGO XADREZ,76
Seg_Jan_SM_S15,2024-04-08,Jan,SM,1,5,1,9,39,ISCA DE CARNE AO MOLHO FERRUGEM,55
Ter_Alm_SM_S15,2024-04-09,Alm,SM,3,1,15,24,34,BIFE SUÍNO AO MOLHO AGRIDOCE,77
Ter_Jan_SM_S15,2024-04-09,Jan,SM,0,1,12,21,34,FILÉ DE FRANGO ACEBOLADO,68
Qua_Alm_SM_S15,2024-04-10,Alm,SM,26,13,24,9,4,CARNE MOÍDA COM MILHO,76
Qua_Jan_SM_S15,2024-04-10,Jan,SM,2,1,3,12,29,PEIXE À ESCABECHE,47
Qui_Alm_SM_S15,2024-04-11,Alm,SM,3,1,13,23,18,ESTROGONOFE DE CARNE,58
Qui_Jan_SM_S15,2024-04-11,Jan,SM,0,4,6,7,20,ESCONDIDINHO DE CARNE COM MANDIOCA,37
Sex_Alm_SM_S15,2024-04-12,Alm,SM,1,3,13,20,2,VACA ATOLADA,39
Sex_Jan_SM_S15,2024-04-12,Jan,SM,1,0,6,5,12,SALPICÃO QUENTE,24
Sab_Alm_SM_S15,2024-04-13,Alm,SM,0,0,4,4,23,QUIBE DE CARNE COM QUEIJO E PRESUNTO,31
Seg_Alm_SM_S16,2024-04-15,Alm,SM,3,0,16,33,19,ALMÔNDEGA DE CARNE AO SUGO,71
