DATA,QNT_BOLSISTAS,QNT_FUNCIONARIOS,VAL_FUNCIONARIOS,QNT_ALUNOS,VAL_ALUNOS,QNT_TOTAL,VAL_TOTAL
2024-01-08,145,0,0,1478,4434,1623,4434
2024-01-09,128,0,0,1369,4107,1497,4107
2024-01-10,163,0,0,1695,5085,1858,5085
2024-01-11,164,0,0,1714,5142,1878,5142
2024-01-12,167,0,0,1425,4275,1592,4275
2024-01-13,81,0,0,645,1935,726,1935
2024-01-15,168,0,0,1673,5019,1841,5019
2024-01-16,144,0,0,1505,4515,1649,4515
2024-01-17,176,0,0,1538,4614,1714,4614
2024-01-18,170,0,0,1544,4632,1714,4632
2024-01-19,155,0,0,1630,4890,1785,4890
2024-01-20,94,0,0,706,2118,800,2118
2024-01-22,183,0,0,1755,5265,1938,5265
2024-01-23,209,0,0,1649,4947,1858,4947
2024-01-24,210,0,0,1721,5163,1931,5163
2024-01-25,203,0,0,1652,4956,1855,4956
2024-01-26,207,0,0,1416,4248,1623,4248
2024-01-27,116,0,0,616,1848,732,1848
2024-01-29,238,0,0,1685,5055,1923,5055
2024-01-30,240,0,0,1796,5388,2036,5388
2024-01-31,219,0,0,1608,4824,1827,4824
2024-02-01,219,0,0,1656,4968,1875,4968
2024-02-02,226,0,0,1469,4407,1695,4407
2024-02-03,134,0,0,772,2316,906,2316
2024-02-05,223,0,0,1625,4875,1848,4875
2024-02-06,214,0,0,1661,4983,1875,4983
2024-02-07,217,1,15.15,1596,4788,1814,4803.15
2024-02-08,192,0,0,1463,4389,1655,4389
2024-02-09,162,0,0,1149,3447,1311,3447
2024-02-15,130,0,0,974,2922,1104,2922
2024-02-16,141,1,15.15,1017,3051,1159,3066.15
2024-02-17,107,0,0,583,1749,690,1749
2024-02-19,229,0,0,1729,5187,1958,5187
2024-02-20,228,0,0,1687,5061,1915,5061
2024-02-21,206,0,0,1617,4851,1823,4851
2024-02-22,235,0,0,1741,5223,1976,5223
2024-02-23,183,0,0,1435,4305,1618,4305
2024-02-24,120,0,0,755,2265,875,2265
2024-02-26,216,0,0,1667,5001,1883,5001
2024-02-27,238,0,0,1824,5472,2062,5472
2024-02-28,205,0,0,1410,4230,1615,4230
2024-02-29,198,0,0,1576,4728,1774,4728
