DATA,TIPO_REFEICAO,QNT_BOLSISTAS,QNT_FUNCIONARIOS,VAL_FUNCIONARIOS,QNT_ALUNOS,VAL_ALUNOS,QNT_TOTAL,VAL_TOTAL,DIA_SEMANA,DEMANDA
2024-01-08,almoço,111,0,0,858,2574,969,2574,1,NORMAL
2024-01-08,jantar,145,0,0,1478,4434,1623,4434,1,NORMAL
2024-01-09,almoço,116,0,0,979,2937,1095,2937,2,NORMAL
2024-01-09,jantar,128,0,0,1369,4107,1497,4107,2,NORMAL
2024-01-10,almoço,118,0,0,910,2730,1028,2730,3,NORMAL
2024-01-10,jantar,163,0,0,1695,5085,1858,5085,3,ALTA
2024-01-11,almoço,119,0,0,928,2784,1051,2784,4,NORMAL
2024-01-11,jantar,164,0,0,1714,5142,1878,5142,4,ALTA
2024-01-12,almoço,98,1,15.73,697,2091,796,2106.73,5,NORMAL
2024-01-12,jantar,167,0,0,1425,4275,1592,4275,5,NORMAL
2024-01-13,jantar,81,0,0,645,1935,726,1935,6,NORMAL
2024-01-15,almoço,134,0,0,1067,3201,1201,3201,1,NORMAL
2024-01-15,jantar,168,0,0,1673,5019,1841,5019,1,NORMAL
2024-01-16,almoço,157,0,0,1152,3456,1309,3456,2,ALTA
2024-01-16,jantar,144,0,0,1505,4515,1649,4515,2,NORMAL
2024-01-17,almoço,115,0,0,1092,3276,1207,3276,3,ALTA
2024-01-17,jantar,176,0,0,1538,4614,1714,4614,3,NORMAL
2024-01-18,almoço,135,0,0,1113,3339,1248,3339,4,ALTA
2024-01-18,jantar,170,0,0,1544,4632,1714,4632,4,NORMAL
2024-01-19,almoço,102,1,15.73,770,2310,873,2325.73,5,ALTA
2024-01-19,jantar,155,0,0,1630,4890,1785,4890,5,ALTA
2024-01-20,jantar,94,0,0,706,2118,800,2118,6,NORMAL
2024-01-22,almoço,128,0,0,1145,3435,1273,3435,1,ALTA
2024-01-22,jantar,183,0,0,1755,5265,1938,5265,1,ALTA
2024-01-23,almoço,164,0,0,1098,3294,1262,3294,2,ALTA
2024-01-23,jantar,209,0,0,1649,4947,1858,4947,2,NORMAL
2024-01-24,almoço,139,0,0,1109,3327,1248,3327,3,ALTA
2024-01-24,jantar,210,0,0,1721,5163,1931,5163,3,ALTA
2024-01-25,almoço,159,0,0,1129,3387,1288,3387,4,ALTA
2024-01-25,jantar,203,0,0,1652,4956,1855,4956,4,ALTA
2024-01-26,almoço,145,0,0,928,2784,1073,2784,5,ALTA
2024-01-26,jantar,207,0,0,1416,4248,1623,4248,5,ALTA
2024-01-27,jantar,116,0,0,616,1848,732,1848,6,NORMAL
2024-01-29,almoço,140,0,0,831,2493,971,2493,1,NORMAL
2024-01-29,jantar,238,0,0,1685,5055,1923,5055,1,ALTA
2024-01-30,almoço,162,0,0,1056,3168,1218,3168,2,NORMAL
2024-01-30,jantar,240,0,0,1796,5388,2036,5388,2,ALTA
2024-01-31,almoço,173,0,0,1017,3051,1190,3051,3,NORMAL
2024-01-31,jantar,219,0,0,1608,4824,1827,4824,3,ALTA
2024-02-01,almoço,185,0,0,1220,3660,1405,3660,4,ALTA
2024-02-01,jantar,219,0,0,1656,4968,1875,4968,4,ALTA
2024-02-02,almoço,150,0,0,806,2418,956,2418,5,ALTA
2024-02-02,jantar,226,0,0,1469,4407,1695,4407,5,ALTA
2024-02-03,jantar,134,0,0,772,2316,906,2316,6,ALTA
2024-02-05,almoço,173,0,0,1077,3231,1250,3231,1,ALTA
2024-02-05,jantar,223,0,0,1625,4875,1848,4875,1,ALTA
2024-02-06,almoço,166,1,15.15,1091,3273,1258,3288.15,2,ALTA
2024-02-06,jantar,214,0,0,1661,4983,1875,4983,2,ALTA
2024-02-07,almoço,180,0,0,1160,3480,1340,3480,3,ALTA
2024-02-07,jantar,217,1,15.15,1596,4788,1814,4803.15,3,ALTA
2024-02-08,almoço,104,0,0,725,2175,829,2175,4,NORMAL
2024-02-08,jantar,192,0,0,1463,4389,1655,4389,4,NORMAL
2024-02-09,almoço,81,0,0,472,1416,553,1416,5,NORMAL
2024-02-09,jantar,162,0,0,1149,3447,1311,3447,5,NORMAL
2024-02-15,almoço,135,0,0,738,2214,873,2214,4,NORMAL
2024-02-15,jantar,130,0,0,974,2922,1104,2922,4,NORMAL
2024-02-16,almoço,90,0,0,531,1593,621,1593,5,NORMAL
2024-02-16,jantar,141,1,15.15,1017,3051,1159,3066.15,5,NORMAL
2024-02-17,jantar,107,0,0,583,1749,690,1749,6,NORMAL
2024-02-19,almoço,195,0,0,1139,3417,1334,3417,1,ALTA
2024-02-19,jantar,229,0,0,1729,5187,1958,5187,1,ALTA
2024-02-20,almoço,190,0,0,1108,3324,1298,3324,2,ALTA
2024-02-20,jantar,228,0,0,1687,5061,1915,5061,2,ALTA
2024-02-21,almoço,182,1,15.15,1150,3450,1333,3465.15,3,ALTA
2024-02-21,jantar,206,0,0,1617,4851,1823,4851,3,ALTA
2024-02-22,almoço,181,0,0,1072,3216,1253,3216,4,ALTA
2024-02-22,jantar,235,0,0,1741,5223,1976,5223,4,ALTA
2024-02-23,almoço,128,0,0,825,2475,953,2475,5,ALTA
2024-02-23,jantar,183,0,0,1435,4305,1618,4305,5,ALTA
2024-02-24,jantar,120,0,0,755,2265,875,2265,6,ALTA
2024-02-26,almoço,196,0,0,1174,3522,1370,3522,1,ALTA
2024-02-26,jantar,216,0,0,1667,5001,1883,5001,1,ALTA
2024-02-27,almoço,193,0,0,1157,3471,1350,3471,2,ALTA
2024-02-27,jantar,238,0,0,1824,5472,2062,5472,2,ALTA
2024-02-28,almoço,152,0,0,957,2871,1109,2871,3,NORMAL
2024-02-28,jantar,205,0,0,1410,4230,1615,4230,3,NORMAL
2024-02-29,almoço,154,0,0,951,2853,1105,2853,4,NORMAL
2024-02-29,jantar,198,0,0,1576,4728,1774,4728,4,NORMAL
2024-03-01,almoço,91,0,0,570,1710,661,1710,5,NORMAL
2024-03-01,jantar,212,1,15.15,1547,4641,1760,4656.15,5,ALTA
2024-03-02,jantar,127,0,0,758,2274,885,2274,6,ALTA
2024-03-04,almoço,177,0,0,1246,3738,1423,3738,1,ALTA
2024-03-04,jantar,221,0,0,1701,5103,1922,5103,1,ALTA
2024-03-05,almoço,178,0,0,1192,3576,1370,3576,2,ALTA
2024-03-05,jantar,220,0,0,1845,5535,2065,5535,2,ALTA
2024-03-06,almoço,143,0,0,1007,3021,1150,3021,3,NORMAL
2024-03-06,jantar,198,0,0,1576,4728,1774,4728,3,NORMAL
2024-03-07,almoço,164,0,0,1021,3063,1185,3063,4,NORMAL
2024-03-07,jantar,181,0,0,1632,4896,1813,4896,4,ALTA
2024-03-08,almoço,125,0,0,708,2124,833,2124,5,ALTA
2024-03-08,jantar,141,0,0,1085,3255,1226,3255,5,NORMAL
2024-03-09,jantar,109,1,15.15,701,2103,811,2118.15,6,NORMAL
2024-03-11,almoço,166,0,0,1061,3183,1227,3183,1,ALTA
2024-03-11,jantar,228,0,0,1638,4914,1866,4914,1,ALTA
2024-03-12,almoço,157,0,0,923,2769,1080,2769,2,NORMAL
2024-03-12,jantar,192,0,0,1334,4002,1526,4002,2,NORMAL
2024-03-13,almoço,65,0,0,433,1299,498,1299,3,BAIXA
2024-03-13,jantar,144,0,0,966,2898,1110,2898,3,NORMAL
2024-03-14,almoço,118,1,15.15,639,1917,758,1932.15,4,NORMAL
2024-03-14,jantar,191,0,0,1355,4065,1546,4065,4,NORMAL
2024-03-15,almoço,141,0,0,692,2076,833,2076,5,ALTA
2024-03-15,jantar,174,0,0,1272,3816,1446,3816,5,NORMAL
2024-03-16,jantar,115,1,15.15,721,2163,837,2178.15,6,NORMAL
2024-03-18,almoço,165,0,0,1024,3072,1189,3072,1,NORMAL
2024-03-18,jantar,223,0,0,1557,4671,1780,4671,1,NORMAL
2024-03-19,almoço,180,0,0,1218,3654,1398,3654,2,ALTA
2024-03-19,jantar,232,0,0,1794,5382,2026,5382,2,ALTA
2024-03-20,almoço,168,0,0,1086,3258,1254,3258,3,ALTA
2024-03-20,jantar,204,0,0,1644,4932,1848,4932,3,ALTA
2024-03-21,almoço,159,0,0,1051,3153,1210,3153,4,ALTA
2024-03-21,jantar,220,0,0,1752,5256,1972,5256,4,ALTA
2024-03-22,almoço,107,1,15.15,648,1944,756,1959.15,5,NORMAL
2024-03-22,jantar,184,0,0,1419,4257,1603,4257,5,ALTA
2024-03-23,jantar,122,0,0,833,2499,955,2499,6,ALTA
2024-03-25,almoço,173,0,0,1080,3240,1253,3240,1,ALTA
2024-03-25,jantar,220,0,0,1727,5181,1947,5181,1,ALTA
2024-03-26,almoço,162,0,0,1038,3114,1200,3114,2,NORMAL
2024-03-26,jantar,182,1,15.15,1378,4134,1561,4149.15,2,NORMAL
2024-03-27,almoço,125,0,0,791,2373,916,2373,3,NORMAL
2024-03-27,jantar,201,0,0,1558,4674,1759,4674,3,NORMAL
2024-03-28,almoço,104,0,0,566,1698,670,1698,4,BAIXA
2024-03-28,jantar,157,0,0,1105,3315,1262,3315,4,NORMAL
2024-04-01,almoço,147,0,0,944,2832,1091,2832,1,NORMAL
2024-04-01,jantar,216,0,0,1567,4701,1783,4701,1,NORMAL
2024-04-02,almoço,142,1,15.15,939,2817,1082,2832.15,2,NORMAL
2024-04-02,jantar,162,0,0,1411,4233,1573,4233,2,NORMAL
2024-04-03,almoço,159,0,0,1036,3108,1195,3108,3,ALTA
2024-04-03,jantar,216,1,15.15,1595,4785,1812,4800.15,3,ALTA
2024-04-04,almoço,164,0,0,1044,3132,1208,3132,4,ALTA
2024-04-04,jantar,172,0,0,1309,3927,1481,3927,4,NORMAL
2024-04-05,almoço,136,1,15.15,790,2370,927,2385.15,5,ALTA
