DATA,QNT_BOLSISTAS,QNT_FUNCIONARIOS,VAL_FUNCIONARIOS,QNT_ALUNOS,VAL_ALUNOS,QNT_TOTAL,VAL_TOTAL
2024-01-08,111,0,0,858,2574,969,2574
2024-01-09,116,0,0,979,2937,1095,2937
2024-01-10,118,0,0,910,2730,1028,2730
2024-01-11,119,0,0,928,2784,1051,2784
2024-01-12,98,1,15.73,697,2091,796,2106.73
2024-01-15,134,0,0,1067,3201,1201,3201
2024-01-16,157,0,0,1152,3456,1309,3456
2024-01-17,115,0,0,1092,3276,1207,3276
2024-01-18,135,0,0,1113,3339,1248,3339
2024-01-19,102,1,15.73,770,2310,873,2325.73
2024-01-22,128,0,0,1145,3435,1273,3435
2024-01-23,164,0,0,1098,3294,1262,3294
2024-01-24,139,0,0,1109,3327,1248,3327
2024-01-25,159,0,0,1129,3387,1288,3387
2024-01-26,145,0,0,928,2784,1073,2784
2024-01-29,140,0,0,831,2493,971,2493
2024-01-30,162,0,0,1056,3168,1218,3168
2024-01-31,173,0,0,1017,3051,1190,3051
2024-02-01,185,0,0,1220,3660,1405,3660
2024-02-02,150,0,0,806,2418,956,2418
2024-02-05,173,0,0,1077,3231,1250,3231
2024-02-06,166,1,15.15,1091,3273,1258,3288.15
2024-02-07,180,0,0,1160,3480,1340,3480
2024-02-08,104,0,0,725,2175,829,2175
2024-02-09,81,0,0,472,1416,553,1416
2024-02-15,135,0,0,738,2214,873,2214
2024-02-16,90,0,0,531,1593,621,1593
2024-02-19,195,0,0,1139,3417,1334,3417
2024-02-20,190,0,0,1108,3324,1298,3324
2024-02-21,182,1,15.15,1150,3450,1333,3465.15
2024-02-22,181,0,0,1072,3216,1253,3216
2024-02-23,128,0,0,825,2475,953,2475
2024-02-26,196,0,0,1174,3522,1370,3522
2024-02-27,193,0,0,1157,3471,1350,3471
2024-02-28,152,0,0,957,2871,1109,2871
2024-02-29,154,0,0,951,2853,1105,2853
2024-03-01,91,0,0,570,1710,661,1710
2024-03-04,177,0,0,1246,3738,1423,3738
2024-03-05,178,0,0,1192,3576,1370,3576
2024-03-06,143,0,0,1007,3021,1150,3021
2024-03-07,164,0,0,1021,3063,1185,3063
2024-03-08,125,0,0,708,2124,833,2124
2024-03-11,166,0,0,1061,3183,1227,3183
2024-03-12,157,0,0,923,2769,1080,2769
2024-03-13,65,0,0,433,1299,498,1299
2024-03-14,118,1,15.15,639,1917,758,1932.15
2024-03-15,141,0,0,692,2076,833,2076
2024-03-18,165,0,0,1024,3072,1189,3072
2024-03-19,180,0,0,1218,3654,1398,3654
2024-03-20,168,0,0,1086,3258,1254,3258
2024-03-21,159,0,0,1051,3153,1210,3153
2024-03-22,107,1,15.15,648,1944,756,1959.15
2024-03-25,173,0,0,1080,3240,1253,3240
2024-03-26,162,0,0,1038,3114,1200,3114
2024-03-27,125,0,0,791,2373,916,2373
2024-03-28,104,0,0,566,1698,670,1698
2024-04-01,147,0,0,944,2832,1091,2832
2024-04-02,142,1,15.15,939,2817,1082,2832.15
2024-04-03,159,0,0,1036,3108,1195,3108
2024-04-04,164,0,0,1044,3132,1208,3132
2024-04-05,136,1,15.15,790,2370,927,2385.15
2024-04-08,168,0,0,1000,3000,1168,3000
2024-04-09,170,0,0,1053,3159,1223,3159
2024-04-10,129,0,0,716,2148,845,2148
2024-04-11,152,0,0,1037,3111,1189,3111
2024-04-12,119,0,0,680,2040,799,2040
2024-04-15,147,0,0,923,2769,1070,2769
2024-04-16,174,0,0,1002,3006,1176,3006
2024-04-17,170,0,0,1150,3450,1320,3450
2024-04-18,140,0,0,909,2727,1049,2727
2024-04-19,102,0,0,543,1629,645,1629
2024-04-22,131,0,0,850,2550,981,2550
2024-04-23,119,0,0,879,2637,998,2637
2024-04-24,118,0,0,721,2163,839,2163
2024-04-25,96,0,0,646,1938,742,1938
2024-05-20,94,0,0,676,2028,770,2028
2024-05-21,91,0,0,924,2772,1015,2772
2024-05-22,96,0,0,842,2526,938,2526
2024-05-23,85,0,0,730,2190,815,2190
2024-05-24,70,0,0,527,1581,597,1581
2024-05-27,103,0,0,908,2724,1011,2724
2024-05-28,100,0,0,839,2517,939,2517
2024-05-29,89,1,15.15,696,2088,786,2103.15
2024-06-03,113,1,15.15,915,2745,1029,2760.15
2024-06-04,76,1,15.15,648,1944,725,1959.15
2024-06-05,101,0,0,1014,3042,1115,3042
2024-06-06,88,0,0,766,2298,854,2298
2024-06-07,79,0,0,582,1746,661,1746
2024-06-10,91,0,0,900,2700,991,2700
2024-06-11,129,0,0,939,2817,1068,2817
2024-06-12,70,0,0,712,2136,782,2136
2024-06-13,98,0,0,761,2283,859,2283
2024-06-14,62,0,0,475,1425,537,1425
2024-06-17,112,1,15.15,813,2439,926,2454.15
2024-06-18,89,0,0,596,1788,685,1788
2024-06-19,85,0,0,568,1704,653,1704
2024-06-20,57,0,0,409,1227,466,1227
2024-06-21,66,0,0,422,1266,488,1266
2024-06-24,82,1,15.15,528,1584,611,1599.15
2024-06-25,91,0,0,597,1791,688,1791
2024-06-26,90,0,0,560,1680,650,1680
2024-06-27,81,1,15.15,480,1440,562,1455.15
2024-06-28,42,0,0,267,801,309,801
2024-07-01,78,0,0,495,1485,573,1485
2024-07-02,80,0,0,494,1482,574,1482
2024-07-03,67,0,0,417,1251,484,1251
2024-07-04,61,0,0,455,1365,516,1365
2024-07-05,51,0,0,322,966,373,966
2024-07-08,60,1,15.15,438,1314,499,1329.15
2024-07-09,62,0,0,396,1188,458,1188
2024-07-10,64,2,30.3,451,1353,517,1383.3
2024-07-11,54,0,0,344,1032,398,1032
2024-07-12,44,0,0,216,648,260,648
2024-07-15,71,0,0,445,1335,516,1335
2024-07-17,57,0,0,398,1194,455,1194
2024-07-18,59,0,0,372,1116,431,1116
2024-07-19,41,0,0,209,627,250,627
2024-07-22,60,0,0,364,1092,424,1092
2024-07-23,64,0,0,373,1119,437,1119
2024-07-24,70,0,0,367,1101,437,1101
2024-07-25,53,0,0,345,1035,398,1035
2024-07-26,55,0,0,248,744,303,744
2024-07-29,74,0,0,430,1290,504,1290
2024-07-30,87,0,0,519,1557,606,1557
2024-07-31,73,0,0,503,1509,576,1509
